frame,t_s,depth,rgb
0,10.509,depth/000.png,rgb/000.jpg
1,10.609,depth/001.png,rgb/001.jpg
2,10.710,depth/002.png,rgb/002.jpg
3,10.809,depth/003.png,rgb/003.jpg
4,10.910,depth/004.png,rgb/004.jpg
5,11.010,depth/005.png,rgb/005.jpg
6,11.109,depth/006.png,rgb/006.jpg
7,11.209,depth/007.png,rgb/007.jpg
8,11.310,depth/008.png,rgb/008.jpg
9,11.411,depth/009.png,rgb/009.jpg
10,11.509,depth/010.png,rgb/010.jpg
11,11.609,depth/011.png,rgb/011.jpg
12,11.711,depth/012.png,rgb/012.jpg
13,11.808,depth/013.png,rgb/013.jpg
14,11.910,depth/014.png,rgb/014.jpg
15,12.009,depth/015.png,rgb/015.jpg
16,12.109,depth/016.png,rgb/016.jpg
17,12.209,depth/017.png,rgb/017.jpg
18,12.309,depth/018.png,rgb/018.jpg
19,12.409,depth/019.png,rgb/019.jpg
20,12.509,depth/020.png,rgb/020.jpg
21,12.609,depth/021.png,rgb/021.jpg
22,12.709,depth/022.png,rgb/022.jpg
23,12.810,depth/023.png,rgb/023.jpg
24,12.909,depth/024.png,rgb/024.jpg
25,13.009,depth/025.png,rgb/025.jpg
26,13.109,depth/026.png,rgb/026.jpg
27,13.209,depth/027.png,rgb/027.jpg
28,13.309,depth/028.png,rgb/028.jpg
29,13.409,depth/029.png,rgb/029.jpg
30,13.514,depth/030.png,rgb/030.jpg
31,13.618,depth/031.png,rgb/031.jpg
32,13.717,depth/032.png,rgb/032.jpg
33,13.816,depth/033.png,rgb/033.jpg
34,13.921,depth/034.png,rgb/034.jpg
35,14.017,depth/035.png,rgb/035.jpg
36,14.113,depth/036.png,rgb/036.jpg
37,14.213,depth/037.png,rgb/037.jpg
38,14.313,depth/038.png,rgb/038.jpg
39,14.413,depth/039.png,rgb/039.jpg
40,14.513,depth/040.png,rgb/040.jpg
41,14.613,depth/041.png,rgb/041.jpg
42,14.716,depth/042.png,rgb/042.jpg
43,14.813,depth/043.png,rgb/043.jpg
44,14.913,depth/044.png,rgb/044.jpg
45,15.013,depth/045.png,rgb/045.jpg
46,15.113,depth/046.png,rgb/046.jpg
47,15.213,depth/047.png,rgb/047.jpg
48,15.314,depth/048.png,rgb/048.jpg
49,15.413,depth/049.png,rgb/049.jpg
50,15.517,depth/050.png,rgb/050.jpg
51,15.613,depth/051.png,rgb/051.jpg
52,15.713,depth/052.png,rgb/052.jpg
53,15.813,depth/053.png,rgb/053.jpg
